video_id,title,bert_top5,word2vec_top5,glove_top5
KTNcYYHuBTY,Powers of the Imaginary Unit i,Powers of i; Powers of complex numbers; Imaginary part; Complex exponentiation; Operations with complex numbers,Powers of i; Center of mass of a 1D object; Modulus of a complex number; Area of a region between two or more curves; Volume of a solid of revolution,Powers of i; Area of a region between two or more curves; Center of mass of a 1D object; Powers of complex numbers; Volume of a solid of revolution
BZxZ_eEuJBM,Complex Conjugates,Operations with complex numbers; Imaginary part; Complex plane; Conjugate number; Powers of complex numbers,Modulus of a complex number; Area of a region between two or more curves; Equations involving complex numbers; Center of mass of a 1D object; Powers of complex numbers,Area of a region between two or more curves; Regions in the complex plane; Powers of complex numbers; Modulus of a complex number; Operations with complex numbers
kpywdu1afas,Introduction to Complex Numbers,Imaginary part; Operations with complex numbers; Complex plane; Complex plane rotation; Powers of complex numbers,Modulus of a complex number; Powers of complex numbers; Area of a region between two or more curves; Equations involving complex numbers; Center of mass of a 1D object,Area of a region between two or more curves; Regions in the complex plane; Powers of complex numbers; Operations with complex numbers; Center of mass of a 1D object
KeYfQ8Em9BU,Regions in the complex plane,Regions in the complex plane; Complex plane; Complex plane rotation; Imaginary part; Equations involving complex numbers,Regions in the complex plane; Area of a region between two or more curves; Equations involving complex numbers; Powers of complex numbers; Modulus of a complex number,Regions in the complex plane; Area of a region between two or more curves; Powers of complex numbers; Operations with complex numbers; Real part
AqtgBbEI4wM,Sketching the Locus of Complex Numbers,Equations involving complex numbers; Complex plane; Modulus of a complex number; Complex plane rotation; Regions in the complex plane,Modulus of a complex number; Center of mass of a 1D object; Area of a region between two or more curves; Equations involving complex numbers; Area of a planar region,Center of mass of a 1D object; Area of a region between two or more curves; Modulus of a complex number; Powers of complex numbers; Regions in the complex plane
G8GAsYkZlpE,Second Derivative Test for Relative Extrema,Second derivative test; First derivative test; Global extremum; Local maximum; Local minimum,First derivative test; Second derivative test; Modulus of a complex number; Area of a region between two or more curves; Center of mass of a 1D object,Area of a region between two or more curves; Center of mass of a 1D object; First derivative test; Volume of a solid of revolution; Second derivative test
8mjcnxGMwFo,Lagrange Multipliers,Lagrange multipliers; Constrained optimization; Optimization; Unconstrained optimization; Gradient descent,Area of a region between two or more curves; Modulus of a complex number; Center of mass of a 1D object; Instantaneous rate of change; Multi-objective optimization,Area of a region between two or more curves; Center of mass of a 1D object; Modulus of a complex number; Volume of a solid of revolution; Regions in the complex plane
LVLuqNH5iWw,Local Extrema of a Multivariable Function,Global extremum; Local maximum; Local minimum; Second derivative test; Critical point,Modulus of a complex number; Area of a region between two or more curves; Center of mass of a 1D object; Volume of a solid of revolution; Instantaneous rate of change,Area of a region between two or more curves; Center of mass of a 1D object; Regions in the complex plane; Volume of a solid of revolution; Modulus of a complex number
vwUV2IDLP8Q,Constrained Optimization,Constrained optimization; Unconstrained optimization; Optimization; Lagrange multipliers; Multi-objective optimization,Multi-objective optimization; Unconstrained optimization; Area of a region between two or more curves; Constrained optimization; Modulus of a complex number,Area of a region between two or more curves; Center of mass of a 1D object; Modulus of a complex number; Area of a planar region; Regions in the complex plane
kv8pMEALdWo,Introduction to Kuhn-Tucker Conditions,Constrained optimization; Unconstrained optimization; Optimization; Multi-objective optimization; Global optimum,Area of a region between two or more curves; Powers of complex numbers; Modulus of a complex number; Equations involving complex numbers; Multi-objective optimization,Area of a region between two or more curves; Regions in the complex plane; Volume of a solid of revolution; Powers of complex numbers; Operations with complex numbers
QqAPCIIdx-E,Derivative using Chain and Product Rules,Chain rule; Product rule; Power rule; Exponential rule; Derivative definition,Area of a region between two or more curves; Modulus of a complex number; Center of mass of a 1D object; Volume of a solid of revolution; Instantaneous rate of change,Area of a region between two or more curves; Volume of a solid of revolution; Center of mass of a 1D object; Regions in the complex plane; Powers of i
QhB481jPAa4,Differentiation of y = cos(ax),Chain rule; Trigonometric rules; Product rule; Exponential rule; Derivative definition,Area of a region between two or more curves; Modulus of a complex number; Center of mass of a 1D object; Volume of a solid of revolution; Instantaneous rate of change,Area of a region between two or more curves; Center of mass of a 1D object; Regions in the complex plane; Volume of a solid of revolution; Powers of complex numbers
JTDa2uZS2gI,Calculating Partial Derivatives,Chain rule; Product rule; Derivative definition; Constant rule; Higher-order derivatives,Trigonometric rules; Trigonometric functions; Modulus of a complex number; Right-endpoint approximation; Trigonometric form,Increasing function; Higher-order derivatives; Powers of complex numbers; Area of a region between two or more curves; Mean Value Theorem for Integrals
TDHI-aieyfk,Derivatives of Common Functions,Trigonometric functions; Trigonometric rules; Exponential rule; Higher-order derivatives; Logarithmic rule,Trigonometric functions; Trigonometric form; Logarithmic rule; Modulus of a complex number; Direct integrals,Increasing function; Powers of complex numbers; Modulus of a complex number; Area of a region between two or more curves; Mean Value Theorem for Integrals
uKfcS7-O6UE,Quotient Rule for Differentiation,Quotient rule; Chain rule; Exponential rule; Product rule; Derivative definition,Area of a region between two or more curves; Modulus of a complex number; Center of mass of a 1D object; Quotient rule; Volume of a solid of revolution,Area of a region between two or more curves; Center of mass of a 1D object; Volume of a solid of revolution; Regions in the complex plane; Powers of i
