model,mode,precision_at_k,recall_at_k,f1_at_k,jaccard_at_k,ndcg_at_5_mean,mean_relevance_at_5,weighted_precision_at_5,mrr_relevance_ge_2
bert,current,0.9067,0.4764,0.6223,,0.9054,2.5067,0.8355,1.0
bert,scene_only,0.9067,0.4764,0.6223,,0.896,2.5067,0.8355,0.9667
bert,summary_late_fusion,0.9067,0.4764,0.6223,,0.8998,2.5067,0.8355,0.9667
bert,summary_shortlist,0.9067,0.4764,0.6223,,0.9054,2.5067,0.8355,1.0
bert,summary_shortlist_fusion,0.9067,0.4764,0.6223,,0.8998,2.5067,0.8355,0.9667
word2vec,current,0.9067,0.4764,0.6223,,0.8927,2.5067,0.8355,0.9667
word2vec,scene_only,0.9067,0.4764,0.6223,,0.9042,2.5067,0.8355,0.9667
word2vec,summary_late_fusion,0.9067,0.4764,0.6223,,0.9005,2.5067,0.8355,0.9667
word2vec,summary_shortlist,0.9067,0.4764,0.6223,,0.8927,2.5067,0.8355,0.9667
word2vec,summary_shortlist_fusion,0.9067,0.4764,0.6223,,0.9005,2.5067,0.8355,0.9667
glove,current,0.9067,0.4764,0.6223,,0.881,2.5067,0.8355,0.9333
glove,scene_only,0.9067,0.4764,0.6223,,0.8996,2.5067,0.8355,0.9667
glove,summary_late_fusion,0.9067,0.4764,0.6223,,0.899,2.5067,0.8355,0.9667
glove,summary_shortlist,0.9067,0.4764,0.6223,,0.881,2.5067,0.8355,0.9333
glove,summary_shortlist_fusion,0.9067,0.4764,0.6223,,0.899,2.5067,0.8355,0.9667
word2vec_glove,current,0.9067,0.4764,0.6223,,0.881,2.5067,0.8355,0.9333
word2vec_glove,scene_only,0.9067,0.4764,0.6223,,0.8996,2.5067,0.8355,0.9667
word2vec_glove,summary_late_fusion,0.9067,0.4764,0.6223,,0.899,2.5067,0.8355,0.9667
word2vec_glove,summary_shortlist,0.9067,0.4764,0.6223,,0.881,2.5067,0.8355,0.9333
word2vec_glove,summary_shortlist_fusion,0.9067,0.4764,0.6223,,0.899,2.5067,0.8355,0.9667
